director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Crime Drama Mystery Thriller,prisoners
Denzel Washington,Denzel Washington,Denzel Washington,Denzel Washington,Crime Drama Thriller,training day
Alan Rickman,Alan Rickman,Alan Rickman,Alan Rickman,Adventure Comedy Sci-Fi,galaxy quest
Natasha Lyonne,Natasha Lyonne,Natasha Lyonne,Natasha Lyonne,Comedy,scary movie 2
Bill Cobbs,Bill Cobbs,Bill Cobbs,Bill Cobbs,Adventure Comedy Family Musical,the muppets
Sanaa Lathan,Sanaa Lathan,Sanaa Lathan,Sanaa Lathan,Action Horror,blade
Channing Tatum,Channing Tatum,Channing Tatum,Channing Tatum,Drama Sport,coach carter
Sydney Pollack,Sydney Pollack,Sydney Pollack,Sydney Pollack,Drama Thriller,changing lanes
Frank Welker,Frank Welker,Frank Welker,Frank Welker,Action Adventure Horror Thriller,anaconda
Adam Garcia,Adam Garcia,Adam Garcia,Adam Garcia,Comedy Drama Music Romance,coyote ugly
Colin Firth,Colin Firth,Colin Firth,Colin Firth,Comedy Drama Romance,love actually
Kevin Spacey,Kevin Spacey,Kevin Spacey,Kevin Spacey,Adventure Animation Comedy Family Fantasy,a bug's life
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Horror Mystery Thriller,from hell
Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Action Crime Drama Romance Thriller,the specialist
Don Johnson,Don Johnson,Don Johnson,Don Johnson,Comedy Drama Romance Sport,tin cup
Lucille Ball,Lucille Ball,Lucille Ball,Lucille Ball,Comedy Family,"yours, mine and ours"
Josh Hutcherson,Josh Hutcherson,Josh Hutcherson,Josh Hutcherson,Comedy Family Romance Sport,kicking & screaming
Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy
Dania Ramirez,Dania Ramirez,Dania Ramirez,Dania Ramirez,Comedy Family Fantasy Romance,fat albert
Milla Jovovich,Milla Jovovich,Milla Jovovich,Milla Jovovich,Action Horror Sci-Fi Thriller,resident evil: extinction
Bella Thorne,Bella Thorne,Bella Thorne,Bella Thorne,Comedy Romance,blended
LL Cool J,LL Cool J,LL Cool J,LL Cool J,Adventure Comedy Drama,last holiday
Meryl Streep,Meryl Streep,Meryl Streep,Meryl Streep,Action Adventure Crime Thriller,the river wild
Steve Coogan,Steve Coogan,Steve Coogan,Steve Coogan,Drama Family Fantasy,the indian in the cupboard
Demián Bichir,Demián Bichir,Demián Bichir,Demián Bichir,Crime Drama Thriller,savages
Richard Burgi,Richard Burgi,Richard Burgi,Richard Burgi,Action Crime Thriller,cellular
Kevin McNally,Kevin McNally,Kevin McNally,Kevin McNally,Action Adventure Comedy,johnny english
Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Adventure Animation Comedy Family Fantasy,the ant bully
Virginia Madsen,Virginia Madsen,Virginia Madsen,Virginia Madsen,Action Adventure Sci-Fi,dune
Jim Sturgess,Jim Sturgess,Jim Sturgess,Jim Sturgess,Drama Fantasy Musical Romance,across the universe
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Drama Romance,revolutionary road
Bruce Willis,Bruce Willis,Bruce Willis,Bruce Willis,Action Crime Drama Thriller,16 blocks
Vin Diesel,Vin Diesel,Vin Diesel,Vin Diesel,Action Adventure Sci-Fi Thriller,babylon a.d.
Alexa PenaVega,Alexa PenaVega,Alexa PenaVega,Alexa PenaVega,Action Comedy Crime Drama Thriller,the glimmer man
John de Lancie,John de Lancie,John de Lancie,John de Lancie,Comedy Romance Sci-Fi,multiplicity
Malese Jow,Malese Jow,Malese Jow,Malese Jow,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic
Costas Mandylor,Costas Mandylor,Costas Mandylor,Costas Mandylor,Crime Drama Mystery Thriller,the pledge
Jon Lovitz,Jon Lovitz,Jon Lovitz,Jon Lovitz,Comedy Musical,the producers
Wood Harris,Wood Harris,Wood Harris,Wood Harris,Action Sci-Fi,dredd
Cary-Hiroyuki Tagawa,Cary-Hiroyuki Tagawa,Cary-Hiroyuki Tagawa,Cary-Hiroyuki Tagawa,Action Adventure Comedy Fantasy,the phantom
Matt Damon,Matt Damon,Matt Damon,Matt Damon,Drama Romance Western,all the pretty horses
Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Biography Drama History,nixon
Jim Belushi,Jim Belushi,Jim Belushi,Jim Belushi,Mystery Thriller,the ghost writer
Djimon Hounsou,Djimon Hounsou,Djimon Hounsou,Djimon Hounsou,Action Adventure Horror Sci-Fi,deep rising
Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Action Crime Drama Thriller War,miracle at st. anna
Li Gong,Li Gong,Li Gong,Li Gong,Drama Romance,curse of the golden flower
Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Action Crime Thriller,bangkok dangerous
Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Comedy Crime Thriller,big trouble
Marcela Mar,Marcela Mar,Marcela Mar,Marcela Mar,Drama Romance,love in the time of cholera
Pierre Perrier,Pierre Perrier,Pierre Perrier,Pierre Perrier,Drama Fantasy Horror Mystery,the returned            
Sam Waterston,Sam Waterston,Sam Waterston,Sam Waterston,Action Thriller,shadow conspiracy
Daniel Kaluuya,Daniel Kaluuya,Daniel Kaluuya,Daniel Kaluuya,Action Adventure Comedy Crime,johnny english reborn
Jerry Stiller,Jerry Stiller,Jerry Stiller,Jerry Stiller,Action Animation Comedy Family Fantasy,foodfight!
Clea DuVall,Clea DuVall,Clea DuVall,Clea DuVall,Biography Drama History Thriller,argo
Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,Action Adventure Crime Drama Mystery Thriller,the fugitive
Gerard Butler,Gerard Butler,Gerard Butler,Gerard Butler,Action Comedy Romance,the bounty hunter
Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Crime Drama Thriller,sleepers
Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Action Adventure Thriller War,rambo: first blood part ii
Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Drama Thriller,the juror
Mel Blanc,Mel Blanc,Mel Blanc,Mel Blanc,Animation Family Fantasy Musical,pinocchio
Jeff Bridges,Jeff Bridges,Jeff Bridges,Jeff Bridges,Adventure Drama Western,heaven's gate
Sophia Myles,Sophia Myles,Sophia Myles,Sophia Myles,Action Adventure Fantasy Sci-Fi Thriller,underworld: evolution
Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Drama Horror Sci-Fi Thriller,victor frankenstein
F. Murray Abraham,F. Murray Abraham,F. Murray Abraham,F. Murray Abraham,Drama,finding forrester
Steve Buscemi,Steve Buscemi,Steve Buscemi,Steve Buscemi,Comedy Drama,28 days
Morgan Freeman,Morgan Freeman,Morgan Freeman,Morgan Freeman,Action Crime Drama Thriller,unleashed
Judith Chapman,Judith Chapman,Judith Chapman,Judith Chapman,Comedy Romance,the sweetest thing
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Drama Mystery Thriller,the firm
Augustus Prew,Augustus Prew,Augustus Prew,Augustus Prew,Drama Fantasy Romance,charlie st. cloud
Jason Statham,Jason Statham,Jason Statham,Jason Statham,Action Crime Thriller,the mechanic
Channing Tatum,Channing Tatum,Channing Tatum,Channing Tatum,Action Comedy Crime,21 jump street
Julia Roberts,Julia Roberts,Julia Roberts,Julia Roberts,Comedy Drama Romance,notting hill
Imelda Staunton,Imelda Staunton,Imelda Staunton,Imelda Staunton,Adventure Animation Comedy Drama Family,chicken run
Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Comedy Romance,along came polly
John Witherspoon,John Witherspoon,John Witherspoon,John Witherspoon,Comedy Drama Romance,boomerang
Michael Rapaport,Michael Rapaport,Michael Rapaport,Michael Rapaport,Action Comedy Crime,the heat
Martin Landau,Martin Landau,Martin Landau,Martin Landau,Biography Drama History Romance,cleopatra
Salma Hayek,Salma Hayek,Salma Hayek,Salma Hayek,Action Comedy Sport,here comes the boom
Morgan Freeman,Morgan Freeman,Morgan Freeman,Morgan Freeman,Crime Drama Mystery Thriller,high crimes
Jeff Bridges,Jeff Bridges,Jeff Bridges,Jeff Bridges,Comedy Drama Romance,the mirror has two faces
Debra Messing,Debra Messing,Debra Messing,Debra Messing,Drama Horror Mystery Thriller,the mothman prophecies
Bono,Bono,Bono,Bono,Comedy,brüno
Robert Davi,Robert Davi,Robert Davi,Robert Davi,Action Adventure Thriller,licence to kill
Gary Oldman,Gary Oldman,Gary Oldman,Gary Oldman,Fantasy Horror Mystery Thriller,red riding hood
Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Action Crime Drama Thriller,15 minutes
Bob Hoskins,Bob Hoskins,Bob Hoskins,Bob Hoskins,Adventure Comedy Family Fantasy Sci-Fi,super mario bros.
Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Crime Drama Thriller,lord of war
Jet Li,Jet Li,Jet Li,Jet Li,Action Adventure History,hero
Fisher Stevens,Fisher Stevens,Fisher Stevens,Fisher Stevens,Action Comedy Crime Romance Thriller,one for the money
James Franco,James Franco,James Franco,James Franco,Comedy,the interview
Tony Cox,Tony Cox,Tony Cox,Tony Cox,Action Fantasy Western,the warrior's way
Tim Conway,Tim Conway,Tim Conway,Tim Conway,Comedy War,mchale's navy            
Omar Sy,Omar Sy,Omar Sy,Omar Sy,Action Comedy Crime,micmacs
Mekhi Phifer,Mekhi Phifer,Mekhi Phifer,Mekhi Phifer,Drama Music,8 mile
Jamel Debbouze,Jamel Debbouze,Jamel Debbouze,Jamel Debbouze,Adventure Animation Comedy Family,animal kingdom: let's go ape
Heath Ledger,Heath Ledger,Heath Ledger,Heath Ledger,Action Adventure Romance,a knight's tale
Julian Sands,Julian Sands,Julian Sands,Julian Sands,Action Comedy Fantasy,the medallion
Bruce Willis,Bruce Willis,Bruce Willis,Bruce Willis,Drama Mystery Thriller,the sixth sense
Robert Clohessy,Robert Clohessy,Robert Clohessy,Robert Clohessy,Action Crime Thriller,man on a ledge
Joel McHale,Joel McHale,Joel McHale,Joel McHale,Comedy,the big year
Martin Kove,Martin Kove,Martin Kove,Martin Kove,Action Drama Family Sport,the karate kid
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Crime Drama,american hustle
Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Comedy Drama Romance,the proposal
Bruce Greenwood,Bruce Greenwood,Bruce Greenwood,Bruce Greenwood,Crime Mystery Thriller,double jeopardy
Lea Thompson,Lea Thompson,Lea Thompson,Lea Thompson,Adventure Comedy Sci-Fi,back to the future part ii
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Action Sci-Fi Thriller,lucy
Jennifer Ehle,Jennifer Ehle,Jennifer Ehle,Jennifer Ehle,Drama Romance,fifty shades of grey
Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Action Adventure Comedy Family Sci-Fi,spy kids 3-d: game over
Kevin Spacey,Kevin Spacey,Kevin Spacey,Kevin Spacey,Crime Drama Thriller,a time to kill
Tom Welling,Tom Welling,Tom Welling,Tom Welling,Comedy Family,cheaper by the dozen
Jerry Ferrara,Jerry Ferrara,Jerry Ferrara,Jerry Ferrara,Action Biography Drama Thriller War,lone survivor
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Comedy Drama Sport,a league of their own
Javier Botet,Javier Botet,Javier Botet,Javier Botet,Horror Mystery Thriller,the conjuring 2
Andrew Garfield,Andrew Garfield,Andrew Garfield,Andrew Garfield,Biography Drama,the social network
Carmen Perez,Carmen Perez,Carmen Perez,Carmen Perez,Comedy Drama Romance,he's just not that into you
Beau Mirchoff,Beau Mirchoff,Beau Mirchoff,Beau Mirchoff,Comedy,scary movie 4
Kelly Rutherford,Kelly Rutherford,Kelly Rutherford,Kelly Rutherford,Horror Mystery,scream 3
Lea Thompson,Lea Thompson,Lea Thompson,Lea Thompson,Adventure Comedy Sci-Fi Western,back to the future part iii
Will Ferrell,Will Ferrell,Will Ferrell,Will Ferrell,Comedy Crime,get hard
Keanu Reeves,Keanu Reeves,Keanu Reeves,Keanu Reeves,Fantasy Horror Romance,bram stoker's dracula
Meryl Streep,Meryl Streep,Meryl Streep,Meryl Streep,Biography Drama Romance,julie & julia
Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,Biography Drama Sport,42
Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Crime Drama Thriller,the talented mr. ripley
Bill Murray,Bill Murray,Bill Murray,Bill Murray,Comedy,dumb and dumber to
Paul Walker,Paul Walker,Paul Walker,Paul Walker,Adventure Drama Family,eight below
Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Comedy Drama,the intern
Olivia Munn,Olivia Munn,Olivia Munn,Olivia Munn,Action Comedy,ride along 2
Wes Studi,Wes Studi,Wes Studi,Wes Studi,Action Adventure Drama Romance War,the last of the mohicans
Bokeem Woodbine,Bokeem Woodbine,Bokeem Woodbine,Bokeem Woodbine,Biography Drama Music,ray
Rosario Dawson,Rosario Dawson,Rosario Dawson,Rosario Dawson,Crime Thriller,sin city
Dennis Quaid,Dennis Quaid,Dennis Quaid,Dennis Quaid,Crime Drama Mystery Thriller,vantage point
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Comedy Romance,"i love you, man"
Jason Alexander,Jason Alexander,Jason Alexander,Jason Alexander,Comedy Drama Fantasy Romance,shallow hal
Sally Kirkland,Sally Kirkland,Sally Kirkland,Sally Kirkland,Drama History Thriller,jfk
Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Comedy Crime,big momma's house 2
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Adventure Comedy Crime Romance,the mexican
Finn Wittrock,Finn Wittrock,Finn Wittrock,Finn Wittrock,Biography Drama Sport War,unbroken
Matthew Perry,Matthew Perry,Matthew Perry,Matthew Perry,Comedy Drama Family Fantasy Romance,17 again
Don Johnson,Don Johnson,Don Johnson,Don Johnson,Comedy Romance,the other woman
Krista Allen,Krista Allen,Krista Allen,Krista Allen,Horror,the final destination
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Drama History Thriller,bridge of spies
Joaquim de Almeida,Joaquim de Almeida,Joaquim de Almeida,Joaquim de Almeida,Action Drama Thriller War,behind enemy lines
Pink,Pink,Pink,Pink,Comedy Music,get him to the greek
Lisa Ann Walter,Lisa Ann Walter,Lisa Ann Walter,Lisa Ann Walter,Comedy Drama Romance,shall we dance
Kirsten Dunst,Kirsten Dunst,Kirsten Dunst,Kirsten Dunst,Action Adventure Comedy Family Sci-Fi,small soldiers
Michael Jai White,Michael Jai White,Michael Jai White,Michael Jai White,Action Horror,spawn
Henry Cavill,Henry Cavill,Henry Cavill,Henry Cavill,Action Adventure Drama Romance Thriller,the count of monte cristo
Matthew McConaughey,Matthew McConaughey,Matthew McConaughey,Matthew McConaughey,Crime Drama Thriller,the lincoln lawyer
Liam Neeson,Liam Neeson,Liam Neeson,Liam Neeson,Action Mystery Thriller,unknown
Christian Bale,Christian Bale,Christian Bale,Christian Bale,Drama Mystery Sci-Fi Thriller,the prestige
Kevin Spacey,Kevin Spacey,Kevin Spacey,Kevin Spacey,Comedy Crime,horrible bosses 2
Brendan Fraser,Brendan Fraser,Brendan Fraser,Brendan Fraser,Adventure Animation Comedy Family Sci-Fi,escape from planet earth
Rudy Youngblood,Rudy Youngblood,Rudy Youngblood,Rudy Youngblood,Action Adventure Drama Thriller,apocalypto
Joe Don Baker,Joe Don Baker,Joe Don Baker,Joe Don Baker,Action Adventure Thriller,the living daylights
Topher Grace,Topher Grace,Topher Grace,Topher Grace,Action Adventure Sci-Fi Thriller,predators
Brian Dennehy,Brian Dennehy,Brian Dennehy,Brian Dennehy,Comedy Crime Romance,legal eagles
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Mystery Thriller,secret window
Keanu Reeves,Keanu Reeves,Keanu Reeves,Keanu Reeves,Drama Fantasy Romance,the lake house
Gena Rowlands,Gena Rowlands,Gena Rowlands,Gena Rowlands,Horror Mystery Thriller,the skeleton key
Jennifer Garner,Jennifer Garner,Jennifer Garner,Jennifer Garner,Comedy Drama Family Fantasy,the odd life of timothy green
Busy Philipps,Busy Philipps,Busy Philipps,Busy Philipps,Comedy Romance,made of honor
Johnny Cannizzaro,Johnny Cannizzaro,Johnny Cannizzaro,Johnny Cannizzaro,Biography Drama Music Musical,jersey boys
Matt Damon,Matt Damon,Matt Damon,Matt Damon,Crime Drama Thriller,the rainmaker
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Horror Mystery Thriller,gothika
Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Drama History,amistad
Lorraine Bracco,Lorraine Bracco,Lorraine Bracco,Lorraine Bracco,Adventure Drama Romance,medicine man
Sam Trammell,Sam Trammell,Sam Trammell,Sam Trammell,Action Horror Sci-Fi Thriller,aliens vs. predator: requiem
Macaulay Culkin,Macaulay Culkin,Macaulay Culkin,Macaulay Culkin,Comedy Family,ri¢hie ri¢h
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Drama Romance,autumn in new york
Brad Garrett,Brad Garrett,Brad Garrett,Brad Garrett,Comedy Music Romance,music and lyrics
Bobby Lee,Bobby Lee,Bobby Lee,Bobby Lee,Adventure Comedy Sci-Fi,paul
Miriam Margolyes,Miriam Margolyes,Miriam Margolyes,Miriam Margolyes,Comedy Drama,the guilt trip
Alison Brie,Alison Brie,Alison Brie,Alison Brie,Horror Mystery,scream 4
Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Mystery Thriller,8mm
Michael Wincott,Michael Wincott,Michael Wincott,Michael Wincott,Biography Drama Music Musical,the doors
James Wilcox,James Wilcox,James Wilcox,James Wilcox,Comedy,sex tape
Adam Arkin,Adam Arkin,Adam Arkin,Adam Arkin,Comedy Drama,hanging up
Emma Bell,Emma Bell,Emma Bell,Emma Bell,Horror,final destination 5
Jeanne Tripplehorn,Jeanne Tripplehorn,Jeanne Tripplehorn,Jeanne Tripplehorn,Comedy Crime Romance,mickey blue eyes
Kevin Spacey,Kevin Spacey,Kevin Spacey,Kevin Spacey,Drama,pay it forward
Jimmy Fallon,Jimmy Fallon,Jimmy Fallon,Jimmy Fallon,Comedy Drama Romance Sport,fever pitch
Bruce Dinsmore,Bruce Dinsmore,Bruce Dinsmore,Bruce Dinsmore,Animation Comedy Family,arthur            
Lisa Ann Walter,Lisa Ann Walter,Lisa Ann Walter,Lisa Ann Walter,Comedy Drama,drillbit taylor
Liam Neeson,Liam Neeson,Liam Neeson,Liam Neeson,Comedy Western,a million ways to die in the west
Jonathan Winters,Jonathan Winters,Jonathan Winters,Jonathan Winters,Action Adventure Crime Fantasy Mystery Thriller,the shadow
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Adventure Drama Mystery,extremely loud & incredibly close
Noah Bean,Noah Bean,Noah Bean,Noah Bean,Comedy Drama Romance,morning glory
50 Cent,50 Cent,50 Cent,50 Cent,Biography Crime Drama Music,get rich or die tryin'
Michael Biehn,Michael Biehn,Michael Biehn,Michael Biehn,Action Adventure Crime Thriller,the art of war
Rosario Dawson,Rosario Dawson,Rosario Dawson,Rosario Dawson,Drama Musical Romance,rent
Rufus Sewell,Rufus Sewell,Rufus Sewell,Rufus Sewell,Crime Drama Horror Thriller,bless the child
Oliver Hudson,Oliver Hudson,Oliver Hudson,Oliver Hudson,Comedy,the out-of-towners
Marlon Brando,Marlon Brando,Marlon Brando,Marlon Brando,Horror Sci-Fi Thriller,the island of dr. moreau
Catherine Deneuve,Catherine Deneuve,Catherine Deneuve,Catherine Deneuve,Action Adventure Romance,the musketeer
Natalie Portman,Natalie Portman,Natalie Portman,Natalie Portman,Biography Drama History Romance,the other boleyn girl
Keanu Reeves,Keanu Reeves,Keanu Reeves,Keanu Reeves,Drama Romance,sweet november
Stephen Rea,Stephen Rea,Stephen Rea,Stephen Rea,Horror Thriller,the reaping
Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Crime Drama Romance Thriller,mean streets
Ed Begley Jr.,Ed Begley Jr.,Ed Begley Jr.,Ed Begley Jr.,Comedy Drama,renaissance man
Jordi Mollà,Jordi Mollà,Jordi Mollà,Jordi Mollà,Action Crime Drama Thriller,colombiana
Gary Oldman,Gary Oldman,Gary Oldman,Gary Oldman,Adventure Animation Comedy Drama Family Fantasy Musical,the magic sword: quest for camelot
Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Crime Drama Mystery Thriller,city by the sea
Mira Sorvino,Mira Sorvino,Mira Sorvino,Mira Sorvino,Drama Romance,at first sight
Dane Cook,Dane Cook,Dane Cook,Dane Cook,Action Comedy Crime,torque
Al Pacino,Al Pacino,Al Pacino,Al Pacino,Drama Thriller,city hall
Bobbie Phillips,Bobbie Phillips,Bobbie Phillips,Bobbie Phillips,Drama,showgirls
Kirsten Dunst,Kirsten Dunst,Kirsten Dunst,Kirsten Dunst,Biography Drama History Romance,marie antoinette
Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Action Crime Thriller,kiss of death
Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Action Crime Drama Thriller,get carter
Naomi Watts,Naomi Watts,Naomi Watts,Naomi Watts,Drama Thriller,the impossible
Carol Kane,Carol Kane,Carol Kane,Carol Kane,Action Adventure Comedy Music Thriller,ishtar
Bill Murray,Bill Murray,Bill Murray,Bill Murray,Adventure Animation Comedy Crime Family,fantastic mr. fox
Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Comedy Romance,life or something like it
Richard Epcar,Richard Epcar,Richard Epcar,Richard Epcar,Comedy Romance Sci-Fi Thriller,memoirs of an invisible man
Mathieu Kassovitz,Mathieu Kassovitz,Mathieu Kassovitz,Mathieu Kassovitz,Comedy Romance,amélie
Mary-Kate Olsen,Mary-Kate Olsen,Mary-Kate Olsen,Mary-Kate Olsen,Comedy Crime Family Romance,new york minute
Omar Epps,Omar Epps,Omar Epps,Omar Epps,Comedy Drama Romance,alfie
Ted Danson,Ted Danson,Ted Danson,Ted Danson,Biography Drama Romance,big miracle
Alexa PenaVega,Alexa PenaVega,Alexa PenaVega,Alexa PenaVega,Drama,the deep end of the ocean
Natascha McElhone,Natascha McElhone,Natascha McElhone,Natascha McElhone,Crime Horror Thriller,feardotcom
Josh Hutcherson,Josh Hutcherson,Josh Hutcherson,Josh Hutcherson,Action Adventure Fantasy Thriller,cirque du freak: the vampire's assistant
Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Drama Horror Sci-Fi Thriller,victor frankenstein
Justin Theroux,Justin Theroux,Justin Theroux,Justin Theroux,Comedy,duplex
Bernie Mac,Bernie Mac,Bernie Mac,Bernie Mac,Comedy Drama Music,soul men
M. Emmet Walsh,M. Emmet Walsh,M. Emmet Walsh,M. Emmet Walsh,Action Adventure Drama Thriller,raise the titanic
Michael Jai White,Michael Jai White,Michael Jai White,Michael Jai White,Action Sci-Fi,universal soldier: the return
Norman Reedus,Norman Reedus,Norman Reedus,Norman Reedus,Action Horror Mystery Sci-Fi Thriller,pandorum
Gary Dourdan,Gary Dourdan,Gary Dourdan,Gary Dourdan,Drama Mystery Sci-Fi Thriller,impostor
Rufus Sewell,Rufus Sewell,Rufus Sewell,Rufus Sewell,Action Adventure Thriller,extreme ops
Bridgette Wilson-Sampras,Bridgette Wilson-Sampras,Bridgette Wilson-Sampras,Bridgette Wilson-Sampras,Comedy Fantasy Sci-Fi,just visiting
Chris Evans,Chris Evans,Chris Evans,Chris Evans,Adventure Sci-Fi Thriller,sunshine
John Gatins,John Gatins,John Gatins,John Gatins,Comedy Drama,a thousand words
Eric Idle,Eric Idle,Eric Idle,Eric Idle,Adventure Animation Comedy Fantasy Romance,delgo
Ray Winstone,Ray Winstone,Ray Winstone,Ray Winstone,Action Crime Drama Mystery Thriller,the gunman
Alex Pettyfer,Alex Pettyfer,Alex Pettyfer,Alex Pettyfer,Action Adventure Family Thriller,alex rider: operation stormbreaker
Sarah Roemer,Sarah Roemer,Sarah Roemer,Sarah Roemer,Drama Mystery Thriller,disturbia
Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Comedy Crime Drama Thriller,hackers
James Brolin,James Brolin,James Brolin,James Brolin,Adventure Comedy Drama Romance Thriller War,the hunting party
Jennifer Jason Leigh,Jennifer Jason Leigh,Jennifer Jason Leigh,Jennifer Jason Leigh,Comedy Fantasy,the hudsucker proxy
Jet Li,Jet Li,Jet Li,Jet Li,Action Drama History Romance War,the warlords
Jay Hernandez,Jay Hernandez,Jay Hernandez,Jay Hernandez,Drama History War,nomad: the warrior
Chris Evans,Chris Evans,Chris Evans,Chris Evans,Action Drama Sci-Fi Thriller,snowpiercer
Adam Goldberg,Adam Goldberg,Adam Goldberg,Adam Goldberg,Adventure Animation Comedy Fantasy Music Romance,a monster in paris
Matthew Broderick,Matthew Broderick,Matthew Broderick,Matthew Broderick,Comedy,the last shot
Michael Wincott,Michael Wincott,Michael Wincott,Michael Wincott,Action Drama Fantasy,the crow
Tamannaah Bhatia,Tamannaah Bhatia,Tamannaah Bhatia,Tamannaah Bhatia,Action Adventure Drama Fantasy War,baahubali: the beginning
Arliss Howard,Arliss Howard,Arliss Howard,Arliss Howard,Drama Fantasy Romance Sci-Fi,the time traveler's wife
Colin Ferguson,Colin Ferguson,Colin Ferguson,Colin Ferguson,Comedy Romance,because i said so
Paul Walker,Paul Walker,Paul Walker,Paul Walker,Action Crime Thriller,the fast and the furious
Martin Landau,Martin Landau,Martin Landau,Martin Landau,Animation Comedy Family Horror Sci-Fi,frankenweenie
Adam Baldwin,Adam Baldwin,Adam Baldwin,Adam Baldwin,Action Adventure Sci-Fi Thriller,serenity
Omar Epps,Omar Epps,Omar Epps,Omar Epps,Biography Drama Romance Sport,against the ropes
Margot Kidder,Margot Kidder,Margot Kidder,Margot Kidder,Action Comedy Sci-Fi,superman iii
Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Comedy Sport,grudge match
Takeshi Kaneshiro,Takeshi Kaneshiro,Takeshi Kaneshiro,Takeshi Kaneshiro,Action Adventure Drama History War,red cliff
Ethan Embry,Ethan Embry,Ethan Embry,Ethan Embry,Comedy Romance,sweet home alabama
Gerard Butler,Gerard Butler,Gerard Butler,Gerard Butler,Comedy Romance,the ugly truth
Austin Pendleton,Austin Pendleton,Austin Pendleton,Austin Pendleton,Comedy,sgt. bilko
Steve Buscemi,Steve Buscemi,Steve Buscemi,Steve Buscemi,Action Adventure Comedy Family Sci-Fi,spy kids 2: island of lost dreams
LeVar Burton,LeVar Burton,LeVar Burton,LeVar Burton,Action Adventure Mystery Sci-Fi Thriller,star trek: generations
Tony Chiu Wai Leung,Tony Chiu Wai Leung,Tony Chiu Wai Leung,Tony Chiu Wai Leung,Action Biography Drama,the grandmaster
Robert Pattinson,Robert Pattinson,Robert Pattinson,Robert Pattinson,Drama Romance,water for elephants
